titleComplete,genres
"For The Liberation Of Nigeria: Essays And Lectures, 1969 1978",
History and the challenges to the peoples and polities of Africa in the 21st century,
"The manipulation of religion in Nigeria, 1977-1987",
la normandité,
Tam-Tam Schwarz Gesänge von Senegal,
Leopold Sedar Senghor: Poete Senegalais (Classiques du monde: Litterature africaine) (French Edition),
Briseurs d'entraves,
La Belle histoire de Leuk-le-lièvre de Léopold Sédar Senghor (fiche de lecture et analyse complète de l'oeuvre) (French Edition),
"Guerre et révolution en Espagne, 1936-1939 (3) : Le tournant",
Studies in the History of Pre-Colonial Borno,
Histoire de l'Afrique du nord Tunisie - Algérie - Maroc de la conquête arabe à 1830 T2,
LA ROSE DE LA PAIX ET AUTRES POÈMES: Traduits de l’anglais,
"Inside Nigerian history, 1950-1970: Events, issues, and sources",
Oeuvre poétique,
On African Socialism,
Antología de la nueva poesía negra y malgache en lengua francesa,
Nuit d'Afrique ma nuit noire,
Poésie africaine. Six poètes d'Afrique francophone : anthologie.,poetry
"Leopold Sédar Senghor (Quaderns de Versàlia, #8)",
Palma nad mojom patnjom,
Poemi dalla negritudine,poetry
Politica africana,
Lusitanidade e Negritude,
La Ballade Toucoulore De Samba Foul,
Inside Aso Rock,
Free Radio: Electronic Civil Disobedience,
What They Don't Teach You in Broadcasting,
Days of Terror,
A Platter of Gold,
Leopold Sedar Sengor,
The King & the Colony,
"Possessed: A History of Law & Justice in the Crown Colony of Lagos, 1861-1906",
De stora elegierna och andra dikter,
Billowing Hearts,
Sovereign Jewels series box set: Lilac Dreams & Scarlet Path,
"Lilac Dreams (Sovereign Jewels, #1)",
Crossing the River,
Izinkanyezi Ezintsha,
Zulu Boy Gone Crazy: Hilarious Tales Post Polokwane,
The Edge of Things,
Beyond Touch,
Scarlet Path (Sovereign Jewels Book 2),young adult
The Thin Line,
On Another Page,
How to Open the Door,
Heart of a Strong Woman: A memoir,
Committed to Beauty,fiction
"The Lighter Side of Life on Robben Island: Banter, Pastimes, and Boyish Tricks",
Reflections: Poems of Dreams and Betrayals,
The New African Diaspora in the United States,
Culture and Customs of Angola,
Exhale: African queer anthology,anthologies
Exhale: African queer anthology,erotica
Exhale: African queer anthology,short stories
People Live Here,
Africa in the Twenty-First Century: The Promise of Development and Democratization,
The United States' Foreign Policy in Africa in the 21st Century: Issues and Perspectives,
Good Boy,short stories
Tuikku uskaltaa,
The Madhouse,fiction
Africa: An Encyclopedia of Culture and Society [3 Volumes]: An Encyclopedia of Culture and Society,
Tuikun tärkeä tehtävä,
We Won't Fade Into Darkness,dystopia
We Won't Fade Into Darkness,fiction
We Won't Fade Into Darkness,science fiction
